iter	Passed	Remaining
0	2	2355
1	3	1755
2	5	1791
3	6	1627
4	7	1404
5	7	1229
6	8	1159
7	9	1236
8	11	1314
9	14	1394
10	14	1335
11	16	1368
12	18	1400
13	20	1430
14	22	1453
15	23	1473
16	25	1447
17	25	1405
18	27	1427
19	29	1439
20	30	1421
21	32	1435
22	33	1404
23	35	1448
24	37	1464
25	38	1442
26	40	1449
27	41	1455
28	43	1470
29	45	1477
30	46	1452
31	48	1456
32	49	1463
33	51	1471
34	53	1477
35	54	1462
36	56	1471
37	57	1461
38	58	1432
39	59	1436
40	61	1440
41	63	1445
42	65	1448
43	66	1451
44	67	1430
45	69	1435
46	71	1441
47	72	1446
48	74	1450
49	76	1455
50	77	1444
51	79	1449
52	81	1452
53	83	1454
54	84	1458
55	86	1460
56	88	1460
57	89	1461
58	90	1440
59	92	1442
60	92	1428
61	93	1419
62	95	1420
63	97	1421
64	98	1422
65	100	1423
66	102	1425
67	102	1408
68	103	1390
69	104	1391
70	106	1392
71	108	1393
72	109	1394
73	110	1381
74	112	1382
75	113	1385
76	115	1386
77	117	1388
78	119	1390
79	120	1390
80	122	1391
81	124	1393
82	126	1394
83	127	1395
84	129	1395
85	130	1382
86	131	1382
87	133	1383
88	135	1384
89	137	1385
90	138	1385
91	140	1385
92	142	1386
93	143	1386
94	145	1387
95	147	1387
96	148	1380
97	149	1380
98	151	1381
99	153	1381
100	155	1382
101	157	1383
102	158	1384
103	160	1378
104	161	1378
105	163	1378
106	165	1379
107	167	1380
108	168	1380
109	169	1369
110	171	1369
111	172	1369
112	173	1362
113	175	1361
114	177	1362
115	178	1362
116	180	1362
117	182	1362
118	182	1353
119	183	1344
120	185	1344
121	186	1344
122	188	1345
123	189	1338
124	191	1338
125	193	1338
126	194	1338
127	196	1338
128	198	1338
129	199	1338
130	201	1337
131	203	1336
132	204	1336
133	206	1336
134	208	1336
135	210	1336
136	212	1336
137	213	1336
138	215	1335
139	217	1335
140	219	1335
141	221	1335
142	222	1335
143	224	1335
144	226	1335
145	228	1335
146	230	1334
147	231	1334
148	233	1333
149	234	1327
150	235	1321
151	236	1321
152	238	1320
153	238	1312
154	240	1311
155	242	1311
156	244	1310
157	245	1310
158	247	1310
159	249	1310
160	251	1309
161	253	1308
162	254	1308
163	256	1308
164	258	1308
165	260	1308
166	262	1308
167	262	1301
168	264	1302
169	266	1301
170	268	1300
171	268	1294
172	270	1293
173	272	1292
174	274	1292
175	276	1292
176	277	1291
177	279	1291
178	281	1290
179	283	1289
180	283	1282
181	285	1281
182	286	1280
183	288	1278
184	290	1277
185	291	1277
186	293	1276
187	295	1276
188	296	1271
189	297	1270
190	300	1272
191	302	1271
192	303	1269
193	305	1269
194	307	1268
195	308	1267
196	310	1267
197	312	1265
198	314	1265
199	316	1264
200	317	1263
201	318	1257
202	320	1256
203	321	1255
204	323	1254
205	325	1253
206	326	1252
207	328	1251
208	330	1250
209	332	1249
210	333	1248
211	335	1247
212	337	1246
213	339	1245
214	340	1244
215	342	1243
216	344	1242
217	346	1241
218	347	1240
219	349	1239
220	351	1238
221	352	1236
222	354	1235
223	356	1235
224	358	1234
225	360	1233
226	361	1232
227	363	1231
228	365	1230
229	367	1230
230	369	1229
231	371	1228
232	373	1228
233	374	1227
234	376	1225
235	378	1224
236	379	1223
237	381	1221
238	383	1221
239	385	1220
240	387	1219
241	388	1218
242	390	1217
243	392	1216
244	394	1216
245	396	1215
246	398	1214
247	400	1213
248	402	1212
249	403	1211
250	405	1211
251	407	1210
252	409	1209
253	411	1207
254	412	1206
255	414	1204
256	416	1203
257	418	1202
258	419	1201
259	421	1200
260	423	1198
261	425	1197
262	426	1196
263	428	1195
264	429	1192
265	431	1191
266	433	1190
267	435	1188
268	437	1187
269	439	1187
270	440	1186
271	442	1184
272	444	1183
273	446	1181
274	447	1180
275	449	1178
276	451	1177
277	453	1176
278	454	1175
279	456	1174
280	458	1172
281	460	1171
282	462	1170
283	463	1169
284	465	1168
285	467	1167
286	469	1165
287	471	1164
288	472	1163
289	474	1162
290	476	1160
291	478	1159
292	479	1158
293	481	1156
294	483	1155
295	485	1154
296	487	1153
297	489	1152
298	490	1151
299	492	1149
300	494	1148
301	496	1147
302	498	1145
303	499	1144
304	501	1143
305	503	1142
306	505	1141
307	507	1139
308	508	1138
309	510	1136
310	512	1135
311	514	1134
312	516	1132
313	517	1131
314	519	1129
315	521	1128
316	523	1127
317	525	1125
318	526	1124
319	528	1123
320	530	1122
321	532	1120
322	534	1119
323	535	1118
324	537	1116
325	539	1115
326	541	1114
327	543	1112
328	544	1110
329	546	1109
330	548	1108
331	550	1106
332	551	1105
333	553	1103
334	555	1102
335	557	1101
336	559	1099
337	560	1098
338	562	1096
339	564	1095
340	566	1093
341	567	1092
342	569	1090
343	571	1089
344	573	1088
345	574	1086
346	576	1085
347	578	1083
348	580	1082
349	581	1080
350	583	1079
351	585	1077
352	586	1075
353	588	1074
354	590	1072
355	592	1071
356	593	1069
357	595	1067
358	597	1066
359	598	1064
360	600	1063
361	602	1061
362	604	1060
363	605	1058
364	607	1056
365	609	1055
366	611	1054
367	612	1052
368	614	1050
369	616	1049
370	618	1047
371	619	1046
372	621	1044
373	623	1043
374	625	1042
375	627	1040
376	629	1039
377	630	1037
378	632	1036
379	634	1034
380	636	1033
381	638	1032
382	639	1030
383	641	1029
384	643	1027
385	645	1026
386	646	1024
387	648	1023
388	650	1021
389	652	1020
390	653	1018
391	655	1017
392	657	1015
393	659	1014
394	661	1012
395	663	1011
396	664	1009
397	666	1007
398	668	1006
399	669	1004
400	671	1003
401	673	1001
402	675	1000
403	676	998
404	678	997
405	680	995
406	682	993
407	683	992
408	685	990
409	687	989
410	689	987
411	690	985
412	692	984
413	694	982
414	695	980
415	697	979
416	699	977
417	700	975
418	702	974
419	704	972
420	706	971
421	707	969
422	709	967
423	711	966
424	712	964
425	714	962
426	716	961
427	718	959
428	719	958
429	721	956
430	723	955
431	725	953
432	727	952
433	728	950
434	730	949
435	732	947
436	734	945
437	735	944
438	737	942
439	739	941
440	741	939
441	742	937
442	744	936
443	746	934
444	747	932
445	749	931
446	751	929
447	753	928
448	755	926
449	756	925
450	758	923
451	760	922
452	762	920
453	764	919
454	766	918
455	768	916
456	769	914
457	771	913
458	773	911
459	775	910
460	777	908
461	778	907
462	780	905
463	782	903
464	784	902
465	786	900
466	788	899
467	789	897
468	791	896
469	793	894
470	794	892
471	796	891
472	798	889
473	800	888
474	802	887
475	804	885
476	805	883
477	807	881
478	809	880
479	811	878
480	812	877
481	814	875
482	816	873
483	818	872
484	819	870
485	821	868
486	823	867
487	824	865
488	826	863
489	828	862
490	830	860
491	831	858
492	833	857
493	835	855
494	837	853
495	838	852
496	840	850
497	842	849
498	844	847
499	846	846
500	847	844
501	849	843
502	851	841
503	853	839
504	855	838
505	857	836
506	858	835
507	860	833
508	862	831
509	864	830
510	865	828
511	867	827
512	869	825
513	871	824
514	873	822
515	875	821
516	877	819
517	878	817
518	880	816
519	882	814
520	884	813
521	885	811
522	887	809
523	889	808
524	891	806
525	893	805
526	895	803
527	897	801
528	898	800
529	900	798
530	902	796
531	903	795
532	905	793
533	907	791
534	909	790
535	911	788
536	912	786
537	914	785
538	916	783
539	917	781
540	919	780
541	921	778
542	923	776
543	924	775
544	926	773
545	928	771
546	929	770
547	931	768
548	933	766
549	935	765
550	936	763
551	938	761
552	940	760
553	941	758
554	943	756
555	945	754
556	946	753
557	948	751
558	950	749
559	952	748
560	954	746
561	955	744
562	957	743
563	959	741
564	961	740
565	963	738
566	964	736
567	966	735
568	968	733
569	971	732
570	973	731
571	975	729
572	977	728
573	978	726
574	980	724
575	982	723
576	984	721
577	986	720
578	988	718
579	990	717
580	992	715
581	993	713
582	995	712
583	997	710
584	999	708
585	1001	707
586	1002	705
587	1004	703
588	1006	702
589	1008	700
590	1009	698
591	1013	698
592	1017	698
593	1020	697
594	1024	697
595	1027	696
596	1031	695
597	1034	695
598	1037	694
599	1040	693
600	1044	693
601	1047	692
602	1049	690
603	1051	689
604	1054	688
605	1056	686
606	1058	685
607	1060	683
608	1062	682
609	1064	680
610	1066	678
611	1068	677
612	1070	675
613	1071	673
614	1073	672
615	1075	670
616	1077	668
617	1079	667
618	1081	665
619	1082	663
620	1084	661
621	1086	660
622	1088	658
623	1089	656
624	1091	654
625	1093	653
626	1095	651
627	1096	649
628	1098	647
629	1100	646
630	1102	644
631	1103	642
632	1105	640
633	1107	639
634	1109	637
635	1110	635
636	1112	634
637	1114	632
638	1116	630
639	1117	628
640	1119	627
641	1121	625
642	1123	623
643	1124	621
644	1126	620
645	1128	618
646	1130	616
647	1132	614
648	1133	613
649	1135	611
650	1137	609
651	1139	608
652	1141	606
653	1142	604
654	1144	602
655	1146	601
656	1148	599
657	1149	597
658	1151	595
659	1153	594
660	1154	592
661	1156	590
662	1158	588
663	1160	587
664	1162	585
665	1163	583
666	1165	581
667	1167	580
668	1169	578
669	1170	576
670	1172	575
671	1174	573
672	1176	571
673	1178	569
674	1179	568
675	1181	566
676	1183	564
677	1184	562
678	1186	560
679	1188	559
680	1189	557
681	1191	555
682	1193	553
683	1195	552
684	1197	550
685	1199	548
686	1201	547
687	1202	545
688	1204	543
689	1206	542
690	1208	540
691	1210	538
692	1212	537
693	1214	535
694	1215	533
695	1217	531
696	1219	530
697	1220	528
698	1222	526
699	1224	524
700	1226	522
701	1227	521
702	1229	519
703	1231	517
704	1233	515
705	1234	514
706	1236	512
707	1238	510
708	1240	509
709	1242	507
710	1244	505
711	1245	503
712	1247	502
713	1249	500
714	1251	498
715	1253	497
716	1255	495
717	1257	493
718	1258	491
719	1260	490
720	1262	488
721	1264	486
722	1266	485
723	1267	483
724	1269	481
725	1271	479
726	1272	478
727	1274	476
728	1276	474
